"longitude","latitude","species","geometry","color"
146.677,-19.1913,"Limosa lapponica",c(146.677, -19.1913),"#509E2F"
153.194,-27.4546,"Limosa lapponica",c(153.194, -27.4546),"#509E2F"
147.537,-42.7881,"Limosa lapponica",c(147.537, -42.7881),"#509E2F"
150.747,-34.8618,"Limosa lapponica",c(150.747, -34.8618),"#509E2F"
148.256,-41.3227,"Limosa lapponica",c(148.256, -41.3227),"#509E2F"
153.194,-27.4546,"Limosa lapponica",c(153.194, -27.4546),"#509E2F"
145.776,-16.9183,"Limosa lapponica",c(145.776, -16.9183),"#509E2F"
153.113,-27.0861,"Limosa lapponica",c(153.113, -27.0861),"#509E2F"
151.129,-34.0208,"Limosa lapponica",c(151.129, -34.0208),"#509E2F"
153.572,-28.8792,"Limosa lapponica",c(153.572, -28.8792),"#509E2F"
153.194,-27.4546,"Limosa lapponica",c(153.194, -27.4546),"#509E2F"
145.774,-16.9166,"Limosa lapponica",c(145.774, -16.9166),"#509E2F"
149.756,-37.5562,"Limosa lapponica",c(149.756, -37.5562),"#509E2F"
151.287,-33.7938,"Limosa lapponica",c(151.287, -33.7938),"#509E2F"
153.109,-27.048,"Limosa lapponica",c(153.109, -27.048),"#509E2F"
148.23,-41.3165,"Limosa lapponica",c(148.23, -41.3165),"#509E2F"
144.506,-38.2676,"Limosa lapponica",c(144.506, -38.2676),"#509E2F"
153.203,-27.4779,"Limosa lapponica",c(153.203, -27.4779),"#509E2F"
145.766,-16.9089,"Limosa lapponica",c(145.766, -16.9089),"#509E2F"
153.203,-27.4779,"Limosa lapponica",c(153.203, -27.4779),"#509E2F"
145.766,-16.9089,"Limosa lapponica",c(145.766, -16.9089),"#509E2F"
146.75,-19.25,"Limosa lapponica",c(146.75, -19.25),"#509E2F"
145.774,-16.9166,"Limosa lapponica",c(145.774, -16.9166),"#509E2F"
144.592,-37.9979,"Limosa lapponica",c(144.592, -37.9979),"#509E2F"
152.905,-25.6689,"Limosa lapponica",c(152.905, -25.6689),"#509E2F"
152.816,-31.6472,"Limosa lapponica",c(152.816, -31.6472),"#509E2F"
150.763,-34.9535,"Limosa lapponica",c(150.763, -34.9535),"#509E2F"
